Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
ROBOTICA,JUNIOR,1311000,Chico,Muy bien,9,9,No asistí,No asistí,Buena,Bien,No sé,Aún no lo sé,Buena,Muy bien,Sí,No,9,Los conocimientos que transmite,Los patios y ratos libres (necesitamos más),Los ratos y tiempos libre (necesitamos más),3,3,5,2,3,2,3,4,3,2,5,4,3,3,3,2,3,4,2,4,5,No,"Yo, Mis padres",10,Buena,No sé,Igual
EDICION DE FOTO Y VIDEO,SENIOR,1311072,Chico,Muy bien,10,1,Mala,Mala,Regular,Bien,No sé,basurero,Buena,Muy bien,Sí,No,10,como da clase el profesor,el gusto de la musica,los portátiles que funcionan regularmente mal,1,1,1,5,5,1,1,5,1,5,2,2,1,1,1,1,1,1,5,1,1,2016,Yo,16,Buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,1312000,Chica,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,Enfermera,Buena,Muy bien,Sí,Sí,9,Todas las cosas que hemos aprendido y los profesores,Yo diría que nada,Nada,5,4,5,1,2,4,4,5,5,4,5,4,5,4,1,2,5,5,1,1,5,No,Yo,11,Buena,Sí,Igual
DRONES,SENIOR,1312000,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,Ciencias,Buena,Bien,Sí,Sí,8,la charla de cuadricópteros comerciales,no tener profesor de apoyo,nombrar a los cursos acordes con lo que se trata.,4,4,5,1,1,3,5,4,4,4,5,5,5,4,2,2,4,2,1,1,3,No,Yo,11,Buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,1312000,Chico,Poco,8,8,Buena,No asistí,Muy buena,Bien,No,A ser profesor de geografía,Buena,Muy bien,Sí,No,6,La charla de ONGD de África,El patio,No lo sé.,3,1,3,2,5,2,1,4,3,5,4,3,1,3,3,1,4,3,3,1,3,No,Yo,11,Buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,1312674,Chico,Bien,10,10,Buena,Muy buena,Regular,Bien,No sé,no lo se aun,Buena,Bien,Sí,Sí,8,aprender sobre ciberseguridad,el horario,el horario,4,3,5,4,4,4,4,3,4,3,4,4,3,3,4,3,3,5,3,4,4,No,Yo,15,Me da igual,No sé,Mejor
CIENCIA EN LA COCINA,JUNIOR,1402000,Chico,Muy bien,8,9,No asistí,No asistí,Buena,Bien,Sí,"Científico biólogo, historiador, arqueólogo, médico.",Buena,Muy bien,Sí,Sí,10,cocinar,nada,No,5,5,5,1,1,2,5,3,5,1,5,5,5,4,1,5,3,5,1,2,5,No,"Yo, Mis padres",10,Buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,1402000,Chico,Bien,7,8,No asistí,No asistí,Muy buena,Bien,No sé,no se,Buena,Bien,Sí,Sí,7,Photoshop,los ordenadores,no se,4,3,4,5,4,3,4,5,4,3,4,5,4,2,3,4,5,3,4,2,5,No,"Yo, Mis padres",10,Buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,1402000,Chico,Bien,8,9,Buena,Buena,Buena,Bien,No sé,No sé,Buena,Bien,Sí,Sí,10,el trabajo,no sé,nada,4,4,5,3,2,3,4,3,4,2,5,4,4,4,4,3,4,2,4,3,4,No,"Yo, Mis padres",10,Buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,1404024,Chica,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,me gustaria estudiar ingenieria quimica,Muy buena,Muy bien,Sí,Sí,9,las visitas a los laboratorios me han parecido muy interesantes,nada en espeecial,iria mas a los laboratorios,5,5,4,2,1,4,4,3,4,2,5,4,4,3,3,5,5,5,1,4,4,No,Yo,17,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,1405000,Chico,Muy bien,10,10,No asistí,No asistí,Mala,Muy bien,No sé,depportista de elite,Muy buena,Muy bien,Sí,Sí,10,los compañeros,nada,nada es todo fabuloso,5,5,5,1,2,2,5,4,5,1,5,4,4,4,4,5,5,4,2,4,5,No,Mis padres,12,Buena,Sí,Mejor
INTELIGENCIA ARTIFICIAL,SENIOR,1407450,Chico,Muy bien,9,9,Muy buena,Muy buena,Regular,Regular,Sí,Ingeniero,Muy buena,Muy bien,Sí,Sí,7,Las clases teóricas,Skratch,"Material, trabajo más en equipo, proyectos, más dinámico",5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,"2018, 2019",Yo,16,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,1407847,Chico,Bien,10,8,No asistí,No asistí,Buena,Muy bien,Sí,ingeniería informática,Buena,Bien,Sí,Sí,9,crear un servidor y una skin propia,nada,nada,4,4,4,2,2,3,4,3,4,1,5,5,4,5,1,4,3,2,2,2,4,2019,Yo,13,Buena,Sí,Igual
MINECRAFT,JUNIOR,1407920,Chico,Bien,9,8,Muy buena,No asistí,Buena,Muy bien,No sé,no lo sé,Buena,Bien,Sí,Sí,10,"No se, me ha parecido todo muy bien",nada,nada,3,4,4,2,2,3,4,3,3,3,4,4,4,3,3,4,4,4,2,3,4,2019,Yo,13,Buena,No sé,Igual
MINECRAFT,JUNIOR,1411000,Chico,Muy bien,10,10,Muy buena,No asistí,,Bien,No sé,no se,Me da igual,Muy bien,Sí,Sí,7,jugar,nada,no,1,1,3,1,5,2,1,2,4,5,5,3,1,5,3,1,3,5,5,3,5,No,"Yo, Otros",11,Me da igual,No,Igual
CIBERSEGURIDAD,SENIOR,1411232,Chico,Muy bien,10,10,Muy buena,Buena,Muy buena,Muy bien,Sí,A la informática pero no se en que concretamente,Muy buena,Muy bien,Sí,Sí,10,Lo bien que estaba planteado para que fuerra dinámico,Quizá dedicar menos tiempo a la visita de los laboratorios,Quizá dedicar menos tiempo a la visita de los laboratorios,5,5,5,1,1,4,5,4,5,1,5,5,5,5,4,5,3,5,1,2,4,No,Yo,16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,1411232,Chico,Muy bien,10,10,Muy buena,Muy buena,Regular,Muy bien,Sí,Ciberseguridad,Muy buena,Bien,Sí,Sí,10,Las practicas,La teoría,Dar mas practicas,5,5,5,1,1,5,5,4,5,1,5,5,5,5,3,5,3,5,1,3,5,No,Yo,16,Muy buena,Sí,Igual
PROGRAMACION WEB,SENIOR,1411317,Chico,Muy bien,10,9,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Alguna ingeniería,Buena,Bien,Sí,Sí,9,Todo lo aprendido,todo ha estado bien,Todo está bien,5,4,4,1,2,4,4,4,5,1,5,4,4,4,3,3,4,4,1,3,4,2019,Yo,14,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,1412021,Chica,Muy bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,No lo sé,Buena,Regular,Sí,Sí,10,Todo,No lo sé,Nada,5,5,5,3,1,5,5,4,4,4,3,3,4,3,3,2,3,4,4,4,3,No,Otros,14,Me da igual,Sí,Mejor
CIENCIA EN LA COCINA,SENIOR,1503293,Chica,Muy bien,9,9,Muy buena,Muy buena,Buena,Bien,No sé,Todavía no sé,Buena,Bien,Sí,Sí,9,Que hemos aprendido muchas técnicas diferentes que podremos aplicar en casa y también que los profesores controlan muy bien cada curso.,Que empieza muy pronto aunque entiendo que es para aprovechar más el tiempo.,Creo que todo está bien.,4,5,5,1,2,3,3,4,4,2,5,4,4,4,4,3,4,5,2,2,4,2019,"Yo, Mis padres",14,Buena,No sé,Igual
EMPRENDE ICADE,SENIOR,1503393,Chica,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,No,Empresariales,Buena,Muy bien,Sí,Sí,10,Como estaba organizado y el trabajo en equipo entre otras cosas,No hay nada malo pero yo haría algo para que se pudiera trabajar con todos los de la clase,"No creo, esta todo genial :)",4,3,4,2,4,3,3,4,4,4,4,4,2,4,4,2,3,3,1,3,4,2019,"Yo, Mis padres",16,Muy buena,No,Peor
MINECRAFT,JUNIOR,1504000,Chico,Muy bien,9,10,No asistí,No asistí,Muy buena,Muy bien,No sé,INDEFINIDO,Buena,Muy bien,Sí,Sí,8,MAINCRA,EL RECREO A LAS 10,PONER EL PRIMER RECREO UN POCO MAS TARDE COMO A LAS 11,3,3,5,1,3,3,2,5,4,1,5,3,2,4,1,1,4,5,3,1,3,No,Yo,11,Me da igual,No sé,Mejor
CIENCIA EN LA COCINA,JUNIOR,1505000,Chica,Bien,9,8,No asistí,No asistí,Regular,Muy bien,No sé,cocinera o actriz,Buena,Bien,Sí,Sí,10,el caviar,machacar el trigo,subir antes a la gente que ha llegado tarde,4,4,5,2,2,1,4,4,4,1,5,2,2,2,5,3,5,5,1,5,3,No,Mis padres,11,Buena,No sé,Igual
DISEÑO 3D,JUNIOR,1505000,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,trabajar con animales,Buena,Bien,Sí,Sí,10,todo,que era un poco dificil,nada,4,4,5,1,2,4,4,3,4,2,5,4,4,4,2,3,4,4,1,3,3,No,Mis padres,11,Buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,1506244,Chica,Muy bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Mates y física,Muy buena,Muy bien,Sí,No,9,El día de motores de combustión y el de fórmula 1,El primer dia,Su,5,5,5,1,1,5,5,4,5,5,5,5,5,5,3,5,5,3,1,2,4,No,Yo,17,Muy buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,1506349,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,no se,Muy buena,Muy bien,Sí,Sí,10,los videojuegos,nada,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No,Mis padres,13,Buena,No sé,Mejor
BIOINGENIERIA,JUNIOR,1508281,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,"Algo relacionado sobre la ciencia, posiblemente la ingeniería biomedicina",Muy buena,Bien,Sí,Sí,10,Experimento de metano en el laboratorio de química,No se,No se,5,4,5,1,1,5,4,5,5,1,5,5,4,5,2,5,4,5,1,1,5,No,"Yo, Mis padres",12,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,1509805,Chico,Muy bien,8,8,Buena,Buena,Buena,Muy bien,Sí,Algún trabajo relacionado con esto.,Muy buena,Muy bien,Sí,Sí,9,Aula de motores y explicación de F1,El descanso.,En el descanso darnos una pelota o que haya algo para hacer o reducirlo.,5,5,5,1,1,5,5,4,5,4,5,5,5,5,4,4,2,5,1,4,5,No,"Yo, Mis padres",14,Buena,Sí,Mejor
EMPRENDE ICADE,SENIOR,1601458,Chico,Bien,8,8,No asistí,No asistí,Buena,Bien,Sí,Ingeniería informática e inteligencia artificial,Muy buena,Muy bien,Sí,No,8,"La oportunidad de trabajar en equipo, y los accesible que era el material.","La primera sesión de la semana fue un poco lenta (entrevistar a estudiantes, idear un plan basado en las respuestas).","Materiales (que no sean mapas para trabajar, sino reglas, pegamento, etc)",5,5,5,1,1,5,5,4,5,1,5,5,5,5,3,5,4,5,1,4,5,No,"Yo, Mis padres",17,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,1601778,Chica,Bien,9,9,Muy buena,Buena,Muy buena,Muy bien,Sí,En algo relacionado con ciencias o temas policíacos.,Buena,Muy bien,Sí,Sí,10,Mirar por el microscopio.,Nada.,Nada.,5,5,4,2,1,3,4,4,4,1,5,4,5,4,1,5,4,5,1,1,5,No,"Yo, Mis padres",13,Buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,1603225,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Bien,Sí,Ingeniero de energías,Buena,Regular,Sí,No,8,Los profes y apoyos,Demasiada teoría,,5,5,4,1,1,4,5,4,5,1,5,4,5,5,2,5,5,5,1,3,5,"2016, 2017",Yo,17,Buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,1606000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,ingeniero agricola,Muy buena,Bien,Sí,Sí,10,todo me ha encantado,nada todo me ha gustado mucho,mas cursos en el campus,5,5,5,4,1,5,5,4,5,1,5,5,5,5,3,5,5,5,1,4,5,No,Mis padres,10,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,1606000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,ingeniero agricola o banquero,Muy buena,Bien,Sí,Sí,10,minecraft,nada,no,5,5,5,1,1,3,5,4,5,5,5,5,5,5,4,5,5,5,1,5,5,No,Mis padres,10,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,1607000,Chica,Bien,7,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,No lo sé,Buena,Muy bien,Sí,Sí,7,Probar y hacer experimentos con los materiales,Las explicaciones demasiado largas,Creo que estaría bien que tuviésemos menos explicaciones y hiciésemos más prácticas,5,5,5,1,1,4,4,4,4,1,5,5,5,4,1,4,4,5,1,2,5,No,"Yo, Mis padres",13,Buena,No sé,Igual
INGENIERIA MECANICA,JUNIOR,1607000,Chico,Bien,8,10,Muy buena,No asistí,Regular,Muy bien,Sí,quimico o ingienero,Muy buena,Muy bien,Sí,Sí,10,las actividades,nada,nada,5,5,5,1,1,5,5,5,5,1,3,5,5,5,1,5,5,5,1,4,3,No,"Yo, Mis padres",13,Buena,No sé,Mejor
MINECRAFT,JUNIOR,1607000,Chico,Bien,9,9,No asistí,No asistí,Buena,Muy bien,Sí,Ingeniería aeroespacial/informática,Muy buena,Bien,Sí,Sí,9,construir nuestra propia casa,no haber hecho cosa técnicas en profundidad,nada,5,5,5,1,1,4,5,5,5,1,5,4,5,5,1,4,3,5,1,1,5,No,"Yo, Mis padres",13,Buena,No sé,Mejor
DRONES,SENIOR,1608055,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Medicina,Muy buena,Muy bien,Sí,Sí,10,Jugar con drones,No se,Esta todo muy bien,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,1,5,5,No,Yo,15,Buena,Sí,Mejor
BIOINGENIERIA,SENIOR,1610000,Chico,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,10,muchos ejemplos con experimentos,nada,nada,5,5,5,1,4,3,4,3,4,2,5,4,4,4,2,3,4,4,2,2,5,No,Yo,13,Buena,No sé,Igual
INGENIERIA ELECTRONICA,SENIOR,1610654,Chico,Bien,9,7,Muy buena,No asistí,Regular,Muy bien,Sí,Ingeniería pero no sé de qué,Buena,Muy bien,Sí,Sí,7,Los kahoots  y la amabilidad de la gente,la hora a  la que hay que llegar,Cuando llegas que nada mas llegues vayas al aula a no ser que seas junior y también el horario de comienzo me parece que siendo verano no puede ser que comience a las 8:15 de la mañana ya que hay que descansar y hay veces que por las noches no duerme debido al calor y luego te tienes que despertar  las 8:15 yo lo retrasaría una hora más y si no hay demasiado tiempo que se alargue algún día más,3,4,5,2,2,2,4,2,3,2,5,3,4,2,4,3,4,5,3,4,4,No,"Yo, Mis padres",13,Buena,Sí,Igual
DISEÑO 3D,SENIOR,1611000,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Bien,No sé,programación,Buena,Muy bien,Sí,Sí,10,todo,las impresoras que fallan,las impresoras que fallan,4,4,4,1,2,3,3,4,4,3,5,5,3,4,3,3,2,2,1,1,2,"2016, 2017, 2018, 2019, 2020 (online)",Yo,14,Buena,No sé,Igual
DRONES,SENIOR,1611000,Chico,Muy bien,9,9,Muy buena,No asistí,Buena,Bien,No sé,Programación,Buena,Muy bien,Sí,Sí,10,Todo,Nada,Mejorar las placas ya que muchas están rotas,4,3,4,1,3,3,3,3,4,3,4,4,3,3,2,3,3,4,1,2,4,"2016, 2017, 2018, 2019, 2020 (online)",Yo,14,Buena,No sé,Igual
INGENIERIA MECANICA,JUNIOR,1611000,Chico,Bien,10,10,Muy buena,No asistí,Muy buena,Bien,No sé,ingeniería electrónica/ programación,Buena,Muy bien,Sí,Sí,9,,,El horario de entrada un poco mas tarde.,5,4,5,2,3,1,3,4,5,1,5,5,4,5,1,3,3,5,1,3,5,"2016, 2017, 2018, 2019, 2020 (online)",Yo,14,Buena,No sé,Igual
INGENIERIA ELECTRONICA,SENIOR,1611663,Chico,Bien,9,9,Buena,Buena,Buena,Bien,Sí,Sciencias y ingeniería,Muy buena,Bien,Sí,No,9,La liberta que teníamos y la ayuda que era muy accesible,Solo un recreo largo ( yo creo que sería mejor con dos o tres recreos de 20 minutos),Elle horario,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,No,"Yo, Mis amigos",15,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,1701279,Chica,Bien,10,10,Buena,Buena,Muy buena,Muy bien,Sí,Medicina o ingeniera biomedica,Muy buena,Muy bien,Sí,Sí,10,La gente,Desmayarme,Que sea mas tarde el curso,5,5,5,2,1,4,5,4,4,2,4,5,5,4,3,5,4,4,1,4,4,No,Mis padres,16,Buena,Sí,Mejor
BIOINGENIERIA,SENIOR,1701657,Chico,Bien,9,10,Buena,No asistí,Buena,Muy bien,Sí,No se,Muy buena,Bien,Sí,Sí,9,El último dia en general,No lo sé,"
",4,5,5,1,1,5,5,4,5,2,4,5,5,5,3,5,2,5,2,3,4,"2018, 2019",Yo,16,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,1701657,Chico,Bien,8,9,Muy buena,No asistí,Buena,Bien,Sí,no lo sé,Buena,Bien,Sí,Sí,8,La prueba final,La teoría que es un pocco complicada de entender,la forma de dar la teoria,4,5,5,1,1,1,5,4,5,4,5,5,5,4,3,4,3,5,1,3,4,"2018, 2019",Yo,16,Muy buena,Sí,Peor
INTELIGENCIA ARTIFICIAL,SENIOR,1701657,Chico,Bien,9,9,Muy buena,Muy buena,Buena,Regular,Sí,No lo sé,Buena,Bien,Sí,Sí,8,Aprender sobre lo controlados que nos tienen las empresas,Que los ordenadores no funcionaban algunos,Hacer las clases más dinámicas,5,5,4,1,1,4,5,4,4,2,4,4,4,4,3,3,2,4,1,3,4,"2018, 2019",Yo,16,Muy buena,Sí,Peor
EMPRENDE ICADE,SENIOR,1701952,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Ingeniero,Muy buena,Bien,Sí,Sí,10,La dinámica en grupo,"Nada, está muy bien",Que nosotros eligiésemos los proyectos,5,5,4,1,1,4,5,5,5,1,5,5,5,5,1,5,3,5,1,1,5,"2017, 2018, 2019",Yo,16,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,1701952,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Alguna Ingeniería,Muy buena,Bien,Sí,Sí,10,"La visita al laboratorio de motores y fluidos con los dos profesores, que nos explicaron muy bien cómo funcionaban todos los componentes.",Que algunos ordenadores no funcionaban,Intentar profundizar un poco más en el tema,5,5,5,1,1,5,5,4,5,1,5,5,5,5,1,5,4,5,1,2,5,"2017, 2018, 2019",Yo,16,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,1702000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,jugador de la nba y fisioterapeuta,Muy buena,Bien,Sí,Sí,10,los trampantojos,nada,nada,5,5,5,1,5,5,4,5,5,3,5,4,3,5,5,4,5,5,1,5,5,No,Yo,12,Buena,No sé,Mejor
MINECRAFT,JUNIOR,1702000,Chico,Bien,8,9,Mala,Mala,Mala,Bien,No,noze,Mala,Bien,Sí,Sí,10,el minecraft,la charla del los otros profesorres,esta bien n,1,1,1,3,3,1,3,2,4,4,1,1,4,4,3,2,2,4,5,4,1,No,Yo,12,Buena,No sé,Mucho peor
ROBOTICA,JUNIOR,1702000,Chica,Muy bien,10,10,No asistí,No asistí,,Muy bien,No sé,ingeniera o glofista,Muy buena,Muy bien,Sí,Sí,8,todo,nada,No sé,5,4,4,1,2,4,4,5,5,1,5,5,4,5,1,5,5,5,1,3,5,No,Yo,12,Buena,No sé,Mejor
EMPRENDE ICADE,SENIOR,1702418,Chica,Regular,10,10,Mala,Mala,Muy buena,Muy bien,Sí,militar,Me da igual,Regular,No,No,4,l,la gente,Los decsnaoss,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No,Mis padres,15,Buena,Sí,Peor
PROGRAMACION WEB,SENIOR,1704015,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,No lo sé,Buena,Muy bien,Sí,Sí,10,Aprender,La hora de despertarse,Agrandar el patio,4,4,5,2,3,4,5,5,5,2,5,5,5,5,2,4,5,5,1,2,5,No,"Yo, Mis padres",12,Muy buena,No sé,Peor
BIOINGENIERIA,SENIOR,1704572,Chica,Bien,9,10,Muy buena,Buena,Regular,Muy bien,Sí,Cardiocirujana,Buena,Bien,Sí,Sí,10,Las visitas al laboratorio y las practicas con el microscopio,.,.,5,5,5,1,5,5,5,4,5,2,5,4,5,5,3,4,4,5,1,2,5,2017,Yo,16,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,1704950,Chico,Muy bien,10,10,Buena,Buena,Muy buena,Muy bien,Sí,Ingenieria biomedica,Muy buena,Bien,Sí,Sí,10,Los profesores y la practica,✨mi compañera se desmayó✨,"Nada, sois perfectos tal y como sois❤️🥰",5,5,4,1,2,5,4,5,5,2,4,5,4,5,2,4,3,4,1,3,4,No,"Yo, Mis padres, Mis amigos",14,Buena,No sé,Mejor
EMPRENDE ICADE,SENIOR,1705326,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Bien,Sí,Biomedicina o Derecho,Buena,Regular,Sí,Sí,7,La gente,El horario,Nada,3,4,4,3,2,2,4,3,3,4,5,3,4,3,4,4,2,5,3,3,3,No,Mis padres,15,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,1706015,Chico,Muy bien,9,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniero biomédico,Muy buena,Bien,Sí,Sí,10,Prácticas y profesorado  (apoyo y principal),Algunas partes de teoría,Nada,5,5,5,1,1,5,5,4,5,1,5,5,5,5,5,5,5,5,1,1,5,2018,Yo,16,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,1708698,Chico,Muy bien,8,10,Buena,Buena,Buena,Bien,Sí,Baloncestita,Buena,Muy bien,Sí,Sí,8,Editar,Duración,Duración/Hora,4,4,4,1,1,2,4,4,3,2,5,5,4,4,2,3,3,5,2,1,2,No,Mis padres,13,Buena,Sí,Igual
DISEÑO 3D,JUNIOR,1709000,Chico,Bien,9,7,Muy buena,Buena,Muy buena,Muy bien,Sí,Ingeniería o arquitectura,Muy buena,Muy bien,Sí,Sí,9,Las cosas que hemos impreso,Hay muchas impresoras rotas,No,5,5,5,2,4,4,5,4,5,1,1,4,5,5,3,5,4,4,1,2,5,2020 (online),Yo,12,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,1709000,Chica,Muy bien,10,10,Buena,No asistí,Regular,Muy bien,No,a ser cantante o profe de primaria,Buena,Muy bien,Sí,Sí,7,que me gusta mucho minecraft y ahora se masb,que algunos compañeros son MUY insoportables y algunos tontos,no estais bien asi :),4,2,5,1,3,4,2,5,5,5,5,5,1,5,1,1,5,5,1,1,3,2020 (online),Yo,12,Muy buena,Sí,Peor
DISEÑO 3D,JUNIOR,1711000,Chico,Bien,10,9,No asistí,No asistí,Regular,Muy bien,Sí,cintifico,Buena,Bien,Sí,Sí,10,el boli ;),las visiones ;-;,"para nada
",4,5,4,2,1,4,4,3,4,1,5,5,5,5,4,5,4,3,1,4,5,No,Mis padres,10,Me da igual,Sí,Mejor
VIDEOJUEGOS 2D,SENIOR,1711000,Chico,Bien,9,7,No asistí,No asistí,Regular,Bien,Sí,ingeniero/cientifico,Muy buena,Muy bien,Sí,Sí,7,el arkanoid :))),el flappy bird :(((,el control en los recreos(mejorar),4,5,4,2,1,4,5,4,5,1,5,5,5,4,5,5,4,4,1,5,4,No,Mis padres,10,Me da igual,Sí,Mucho mejor
AUTOMATIZACION,SENIOR,1711134,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniera,Muy buena,Bien,Sí,Sí,10,Todo,"La visita a los laboratorios, pero porque no es mi primera semana, y siempre hacemos lo mismo",Hacer cosas distintas cada semana en los lab,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,5,"2018, 2019",Yo,12,Muy buena,Sí,Igual
DISEÑO 3D,SENIOR,1711134,Chica,Bien,9,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniera Mecánica,Muy mala,Bien,Sí,Sí,10,"Imprimir, diseñar, todo...",Que las impresoras se estropean,"Las lecciones que damos, que no siempre tienen que ver con lo que tenemos q hacer. Es decir, yo estoy en diseño 3D pero solo los primeros 2 días hizimos Kahoots de las maquinas, luego ya no tenenian sentido los kahoots. Yo creo que las clses tienen que hacer lo que nosotros nos hemos apuntado a hacer, no demas GENIAL",5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,5,1,2,5,"2018, 2019",Yo,12,Muy buena,Sí,Other
INGENIERIA MECANICA,JUNIOR,1712000,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniero aeronautico,Muy buena,Muy bien,Sí,Sí,9,Montar el coche telederigido,Roman,Nada,4,4,4,1,4,3,2,5,4,4,5,2,2,4,1,2,5,4,1,2,4,No,Yo,10,Muy buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,1712000,Chico,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,hombre de negocios,Muy buena,Muy bien,Sí,Sí,8,aerodinámica del f1,olor del laboratorio,está perfecto,5,3,5,1,4,5,3,2,5,3,5,5,3,5,3,3,5,5,1,1,5,No,Yo,10,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,1712155,Chico,Bien,8,8,Muy buena,Buena,Muy buena,Bien,Sí,Ingeniería informática,Buena,Muy bien,Sí,Sí,8,La visita a los laboratorios,La wifi,Los ordenadores,4,4,4,2,2,2,4,4,4,2,5,4,4,2,4,4,4,4,1,4,4,No,Yo,14,Buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,1801000,Chica,Bien,9,8,Muy buena,No asistí,Buena,Muy bien,No sé,No lo sé,Muy buena,Muy bien,Sí,Sí,9,Lo que he aprendido,El tiempo libre en la calle,Que en el menú del comedor no se repita ningún plato,5,4,5,1,2,5,4,4,5,2,5,5,4,5,2,4,3,4,1,2,5,"2018, 2019",Yo,13,Buena,No sé,Mejor
EMPRENDE ICADE,SENIOR,1801010,Chico,Bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,.,Muy buena,Muy bien,Sí,No,10,CARMETTA Y FER,.,.,5,5,5,1,1,5,5,5,5,3,3,5,5,5,1,3,5,5,1,1,5,2019,Yo,16,Muy buena,Sí,Igual
